R,C,f,U_cmax,U_rmax,delta(U_cmax),delta(U_cmax),delta(U_rmax),delta(U_gmax)
100,1.00E-06,1600,2,2.4,1,0.2,0.2,0.2
130,1.00E-06,1000,0.8,0.8,1,0.1,0.1,0.1
10,1.00E-06,16000,0.6,0.7,1,0.1,0.1,0.1
1000,1.00E-06,160,0.7,0.8,1,0.1,0.1,0.1
100,1.00E-06,1600,0.7,0.8,1,0.1,0.1,0.1
330,1.00E-06,500,0.8,0.6,1,0.1,0.1,0.1
220,1.00E-06,700,0.8,0.7,1,0.1,0.1,0.1
220,4.70E-06,150,0.6,0.7,1,0.1,0.1,0.1
100,4.70E-06,340,0.8,0.7,1,0.1,0.1,0.1
10,4.70E-06,3300,0.7,0.6,1,0.1,0.1,0.1
330,4.70E-06,100,0.7,0.7,1,0.1,0.1,0.1
150,4.70E-06,220,0.6,0.8,1,0.1,0.1,0.1
