R,C,f,U_cmax,U_rmax,U_gmax,delta(U_cmax),delta(U_rmax),delta(U_gmax)
100,0.000001,1600,2,2.4,1,0.2,0.2,0.2
130,0.000001,1000,0.8,0.8,1,0.1,0.1,0.1
10,0.000001,16000,0.6,0.7,1,0.1,0.1,0.1
1000,0.000001,160,0.7,0.8,1,0.1,0.1,0.1
100,0.000001,1600,0.7,0.8,1,0.1,0.1,0.1
330,0.000001,500,0.8,0.6,1,0.1,0.1,0.1
220,0.000001,700,0.8,0.7,1,0.1,0.1,0.1
220,0.0000047,150,0.6,0.7,1,0.1,0.1,0.1
100,0.0000047,340,0.8,0.7,1,0.1,0.1,0.1
10,0.0000047,3300,0.7,0.6,1,0.1,0.1,0.1
330,0.0000047,100,0.7,0.7,1,0.1,0.1,0.1
150,0.0000047,220,0.6,0.8,1,0.1,0.1,0.1
